Monitoring Stations,Month,Year,pH (units),Ammonia (mg/L),Nitrate (mg/L),Inorganic Phosphate (mg/L),BOD (mg/l),Dissolved Oxygen (mg/l),Total coliforms (MPN/100ml),Phytoplankton (cells/ml),Wind,Condition,Day,Time,Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precip.,Date
Stn. IV (Central Bay),2,2013,,,,,2.0,7.8,181.0,2952.0,6.0,1.0,4,652.1739130434783,27.43478260869565,20.130434782608692,65.43478260869566,13.565217391304348,0.0,1012.8917391304348,0.0,2013-02-04
Stn V (Northern West Bay),2,2013,,,,,2.0,7.1,222.0,1429.0,6.0,1.0,4,652.1739130434783,27.43478260869565,20.130434782608692,65.43478260869566,13.565217391304348,0.0,1012.8917391304348,0.0,2013-02-04
Stn VIII (South Bay),2,2013,,,,,2.0,8.4,94.0,3086.0,6.0,1.0,4,652.1739130434783,27.43478260869565,20.130434782608692,65.43478260869566,13.565217391304348,0.0,1012.8917391304348,0.0,2013-02-04
Stn XV (San Pedro),2,2013,,,,,2.0,7.6,770.0,19181.0,6.0,1.0,4,652.1739130434783,27.43478260869565,20.130434782608692,65.43478260869566,13.565217391304348,0.0,1012.8917391304348,0.0,2013-02-04
Stn.XVI (Sta Rosa),2,2013,,,,,2.0,7.8,365.0,18300.0,6.0,1.0,4,652.1739130434783,27.43478260869565,20.130434782608692,65.43478260869566,13.565217391304348,0.0,1012.8917391304348,0.0,2013-02-04
Stn XVII (Sanctuary),2,2013,,,,,2.0,8.2,115.0,8114.0,6.0,1.0,4,652.1739130434783,27.43478260869565,20.130434782608692,65.43478260869566,13.565217391304348,0.0,1012.8917391304348,0.0,2013-02-04
Stn XVIII (Pagsanjan),2,2013,,,,,2.0,8.8,658.0,7696.0,6.0,1.0,4,652.1739130434783,27.43478260869565,20.130434782608692,65.43478260869566,13.565217391304348,0.0,1012.8917391304348,0.0,2013-02-04
Stn. I (Central West Bay),3,2013,,,,,1.0,7.5,147.0,20927.0,6.0,3.0,4,650.0,26.25,20.58333333333333,71.54166666666667,8.791666666666666,0.0,1011.99125,0.0,2013-03-04
Stn II (East Bay),3,2013,,,,,1.0,7.7,273.0,183033.0,6.0,3.0,4,650.0,26.25,20.58333333333333,71.54166666666667,8.791666666666666,0.0,1011.99125,0.0,2013-03-04
Stn. IV (Central Bay),3,2013,,,,,2.0,7.6,226.0,25587.0,6.0,3.0,4,650.0,26.25,20.58333333333333,71.54166666666667,8.791666666666666,0.0,1011.99125,0.0,2013-03-04
Stn V (Northern West Bay),3,2013,,,,,1.0,7.4,220.0,21154.0,6.0,3.0,4,650.0,26.25,20.58333333333333,71.54166666666667,8.791666666666666,0.0,1011.99125,0.0,2013-03-04
Stn VIII (South Bay),3,2013,,,,,1.0,7.8,140.0,42537.0,6.0,3.0,4,650.0,26.25,20.58333333333333,71.54166666666667,8.791666666666666,0.0,1011.99125,0.0,2013-03-04
Stn XV (San Pedro),3,2013,,,,,1.0,7.6,845.0,9422.0,6.0,3.0,4,650.0,26.25,20.58333333333333,71.54166666666667,8.791666666666666,0.0,1011.99125,0.0,2013-03-04
Stn.XVI (Sta Rosa),3,2013,,,,,2.0,7.6,365.0,6128.0,6.0,3.0,4,650.0,26.25,20.58333333333333,71.54166666666667,8.791666666666666,0.0,1011.99125,0.0,2013-03-04
Stn XVII (Sanctuary),3,2013,,,,,2.0,8.4,131.0,10877.0,6.0,3.0,4,650.0,26.25,20.58333333333333,71.54166666666667,8.791666666666666,0.0,1011.99125,0.0,2013-03-04
Stn XVIII (Pagsanjan),3,2013,,,,,2.0,7.8,441.0,44960.0,6.0,3.0,4,650.0,26.25,20.58333333333333,71.54166666666667,8.791666666666666,0.0,1011.99125,0.0,2013-03-04
Stn. I (Central West Bay),4,2013,,,,,2.0,8.1,52.0,6079.0,6.0,1.0,1,650.0,30.375,22.20833333333333,62.04166666666666,12.75,0.0,1009.07625,0.0,2013-04-01
Stn II (East Bay),4,2013,,,,,2.0,7.6,31.0,27335.0,6.0,1.0,1,650.0,30.375,22.20833333333333,62.04166666666666,12.75,0.0,1009.07625,0.0,2013-04-01
Stn. IV (Central Bay),4,2013,,,,,2.0,8.0,49.0,15513.0,6.0,1.0,1,650.0,30.375,22.20833333333333,62.04166666666666,12.75,0.0,1009.07625,0.0,2013-04-01
Stn V (Northern West Bay),4,2013,,,,,2.0,7.0,61.0,9997.0,6.0,1.0,1,650.0,30.375,22.20833333333333,62.04166666666666,12.75,0.0,1009.07625,0.0,2013-04-01
Stn VIII (South Bay),4,2013,,,,,2.0,7.4,78.0,29964.0,6.0,1.0,1,650.0,30.375,22.20833333333333,62.04166666666666,12.75,0.0,1009.07625,0.0,2013-04-01
Stn XV (San Pedro),4,2013,,,,,2.0,7.5,340.0,29826.0,6.0,1.0,1,650.0,30.375,22.20833333333333,62.04166666666666,12.75,0.0,1009.07625,0.0,2013-04-01
Stn.XVI (Sta Rosa),4,2013,,,,,2.0,8.2,210.0,13476.0,6.0,1.0,1,650.0,30.375,22.20833333333333,62.04166666666666,12.75,0.0,1009.07625,0.0,2013-04-01
Stn XVII (Sanctuary),4,2013,,,,,3.0,8.1,73.0,25259.0,6.0,1.0,1,650.0,30.375,22.20833333333333,62.04166666666666,12.75,0.0,1009.07625,0.0,2013-04-01
Stn XVIII (Pagsanjan),4,2013,,,,,2.0,8.9,21.0,29367.0,6.0,1.0,1,650.0,30.375,22.20833333333333,62.04166666666666,12.75,0.0,1009.07625,0.0,2013-04-01
Stn. I (Central West Bay),5,2013,,,,,2.0,7.3,46.0,63351.0,6.0,1.0,6,650.0,31.166666666666668,22.20833333333333,59.75,12.416666666666666,0.0,1006.915,0.0,2013-05-06
Stn II (East Bay),5,2013,,,,,2.0,8.0,17.0,18576.0,6.0,1.0,6,650.0,31.166666666666668,22.20833333333333,59.75,12.416666666666666,0.0,1006.915,0.0,2013-05-06
Stn. IV (Central Bay),5,2013,,,,,4.0,7.4,35.0,89329.0,6.0,1.0,6,650.0,31.166666666666668,22.20833333333333,59.75,12.416666666666666,0.0,1006.915,0.0,2013-05-06
Stn V (Northern West Bay),5,2013,,,,,2.0,7.0,254.0,155543.0,6.0,1.0,6,650.0,31.166666666666668,22.20833333333333,59.75,12.416666666666666,0.0,1006.915,0.0,2013-05-06
Stn VIII (South Bay),5,2013,,,,,2.0,8.0,225.0,17067.0,6.0,1.0,6,650.0,31.166666666666668,22.20833333333333,59.75,12.416666666666666,0.0,1006.915,0.0,2013-05-06
Stn XV (San Pedro),5,2013,,,,,3.0,7.8,150.0,13945.0,6.0,1.0,6,650.0,31.166666666666668,22.20833333333333,59.75,12.416666666666666,0.0,1006.915,0.0,2013-05-06
Stn.XVI (Sta Rosa),5,2013,,,,,3.0,7.8,173.0,50398.0,6.0,1.0,6,650.0,31.166666666666668,22.20833333333333,59.75,12.416666666666666,0.0,1006.915,0.0,2013-05-06
Stn XVII (Sanctuary),5,2013,,,,,3.0,8.6,42.0,62831.0,6.0,1.0,6,650.0,31.166666666666668,22.20833333333333,59.75,12.416666666666666,0.0,1006.915,0.0,2013-05-06
Stn XVIII (Pagsanjan),5,2013,,,,,2.0,8.4,12.0,22718.0,6.0,1.0,6,650.0,31.166666666666668,22.20833333333333,59.75,12.416666666666666,0.0,1006.915,0.0,2013-05-06
Stn. I (Central West Bay),6,2013,,,,,2.0,9.6,11.0,23653.0,17.0,3.0,3,650.0,31.416666666666668,25.20833333333333,70.41666666666667,9.583333333333334,0.0,1005.2516666666668,0.0,2013-06-03
Stn II (East Bay),6,2013,,,,,2.0,8.9,16.0,15018.0,17.0,3.0,3,650.0,31.416666666666668,25.20833333333333,70.41666666666667,9.583333333333334,0.0,1005.2516666666668,0.0,2013-06-03
Stn. IV (Central Bay),6,2013,,,,,2.0,11.8,17.0,18846.0,17.0,3.0,3,650.0,31.416666666666668,25.20833333333333,70.41666666666667,9.583333333333334,0.0,1005.2516666666668,0.0,2013-06-03
Stn V (Northern West Bay),6,2013,,,,,4.0,11.1,83.0,4832.0,17.0,3.0,3,650.0,31.416666666666668,25.20833333333333,70.41666666666667,9.583333333333334,0.0,1005.2516666666668,0.0,2013-06-03
Stn VIII (South Bay),6,2013,,,,,2.0,7.8,284.0,17620.0,17.0,3.0,3,650.0,31.416666666666668,25.20833333333333,70.41666666666667,9.583333333333334,0.0,1005.2516666666668,0.0,2013-06-03
Stn XV (San Pedro),6,2013,,,,,4.0,8.8,112.0,2827.0,17.0,3.0,3,650.0,31.416666666666668,25.20833333333333,70.41666666666667,9.583333333333334,0.0,1005.2516666666668,0.0,2013-06-03
Stn.XVI (Sta Rosa),6,2013,,,,,3.0,11.0,40.0,8327.0,17.0,3.0,3,650.0,31.416666666666668,25.20833333333333,70.41666666666667,9.583333333333334,0.0,1005.2516666666668,0.0,2013-06-03
Stn XVII (Sanctuary),6,2013,,,,,1.0,8.4,46.0,62309.0,17.0,3.0,3,650.0,31.416666666666668,25.20833333333333,70.41666666666667,9.583333333333334,0.0,1005.2516666666668,0.0,2013-06-03
Stn XVIII (Pagsanjan),6,2013,,,,,1.0,8.4,11.0,22266.0,17.0,3.0,3,650.0,31.416666666666668,25.20833333333333,70.41666666666667,9.583333333333334,0.0,1005.2516666666668,0.0,2013-06-03
Stn. I (Central West Bay),7,2013,,,,,3.0,8.4,13.0,180839.0,7.0,3.0,1,640.6,29.36,24.52,76.12,9.16,2.16,1006.0092,0.0,2013-07-01
Stn II (East Bay),7,2013,,,,,2.0,7.5,33.0,24495.0,7.0,3.0,1,640.6,29.36,24.52,76.12,9.16,2.16,1006.0092,0.0,2013-07-01
Stn. IV (Central Bay),7,2013,,,,,3.0,7.3,6.0,60814.0,7.0,3.0,1,640.6,29.36,24.52,76.12,9.16,2.16,1006.0092,0.0,2013-07-01
Stn V (Northern West Bay),7,2013,,,,,2.0,6.2,107.0,34779.0,7.0,3.0,1,640.6,29.36,24.52,76.12,9.16,2.16,1006.0092,0.0,2013-07-01
Stn VIII (South Bay),7,2013,,,,,2.0,7.6,83.0,45439.0,7.0,3.0,1,640.6,29.36,24.52,76.12,9.16,2.16,1006.0092,0.0,2013-07-01
Stn XV (San Pedro),7,2013,,,,,2.0,6.2,66.0,47418.0,7.0,3.0,1,640.6,29.36,24.52,76.12,9.16,2.16,1006.0092,0.0,2013-07-01
Stn.XVI (Sta Rosa),7,2013,,,,,2.0,7.2,29.0,42090.0,7.0,3.0,1,640.6,29.36,24.52,76.12,9.16,2.16,1006.0092,0.0,2013-07-01
Stn XVII (Sanctuary),7,2013,,,,,4.0,8.6,40.0,54415.0,7.0,3.0,1,640.6,29.36,24.52,76.12,9.16,2.16,1006.0092,0.0,2013-07-01
Stn XVIII (Pagsanjan),7,2013,,,,,3.0,8.7,32.0,33276.0,7.0,3.0,1,640.6,29.36,24.52,76.12,9.16,2.16,1006.0092,0.0,2013-07-01
Stn. I (Central West Bay),8,2013,,,,,2.0,7.0,26.0,33640.0,5.0,2.0,5,650.0,29.20833333333333,24.20833333333333,75.16666666666667,13.916666666666666,1.8333333333333333,1005.8766666666668,0.0,2013-08-05
Stn II (East Bay),8,2013,,,,,1.0,8.0,245.0,41147.0,5.0,2.0,5,650.0,29.20833333333333,24.20833333333333,75.16666666666667,13.916666666666666,1.8333333333333333,1005.8766666666668,0.0,2013-08-05
Stn. IV (Central Bay),8,2013,,,,,2.0,7.2,22.0,106506.0,5.0,2.0,5,650.0,29.20833333333333,24.20833333333333,75.16666666666667,13.916666666666666,1.8333333333333333,1005.8766666666668,0.0,2013-08-05
Stn V (Northern West Bay),8,2013,,,,,5.0,6.6,74.0,10804.0,5.0,2.0,5,650.0,29.20833333333333,24.20833333333333,75.16666666666667,13.916666666666666,1.8333333333333333,1005.8766666666668,0.0,2013-08-05
Stn VIII (South Bay),8,2013,,,,,3.0,7.4,83.0,68923.0,5.0,2.0,5,650.0,29.20833333333333,24.20833333333333,75.16666666666667,13.916666666666666,1.8333333333333333,1005.8766666666668,0.0,2013-08-05
Stn XV (San Pedro),8,2013,,,,,3.0,7.1,46.0,16574.0,5.0,2.0,5,650.0,29.20833333333333,24.20833333333333,75.16666666666667,13.916666666666666,1.8333333333333333,1005.8766666666668,0.0,2013-08-05
Stn.XVI (Sta Rosa),8,2013,,,,,3.0,7.0,71.0,17226.0,5.0,2.0,5,650.0,29.20833333333333,24.20833333333333,75.16666666666667,13.916666666666666,1.8333333333333333,1005.8766666666668,0.0,2013-08-05
Stn XVII (Sanctuary),8,2013,,,,,3.0,7.8,86.0,81699.0,5.0,2.0,5,650.0,29.20833333333333,24.20833333333333,75.16666666666667,13.916666666666666,1.8333333333333333,1005.8766666666668,0.0,2013-08-05
Stn XVIII (Pagsanjan),8,2013,,,,,2.0,8.8,116.0,43108.0,5.0,2.0,5,650.0,29.20833333333333,24.20833333333333,75.16666666666667,13.916666666666666,1.8333333333333333,1005.8766666666668,0.0,2013-08-05
Stn. I (Central West Bay),9,2013,,,,,2.0,8.0,84.0,48273.0,17.0,3.0,2,650.0,30.166666666666668,23.875,70.5,6.25,0.0,1008.33375,0.0,2013-09-02
Stn II (East Bay),9,2013,,,,,2.0,6.2,349.0,16600.0,17.0,3.0,2,650.0,30.166666666666668,23.875,70.5,6.25,0.0,1008.33375,0.0,2013-09-02
Stn. IV (Central Bay),9,2013,,,,,1.0,7.8,49.0,105624.0,17.0,3.0,2,650.0,30.166666666666668,23.875,70.5,6.25,0.0,1008.33375,0.0,2013-09-02
Stn V (Northern West Bay),9,2013,,,,,2.0,5.5,280.0,6635.0,17.0,3.0,2,650.0,30.166666666666668,23.875,70.5,6.25,0.0,1008.33375,0.0,2013-09-02
Stn VIII (South Bay),9,2013,,,,,2.0,7.7,144.0,13570.0,17.0,3.0,2,650.0,30.166666666666668,23.875,70.5,6.25,0.0,1008.33375,0.0,2013-09-02
Stn XV (San Pedro),9,2013,,,,,1.0,6.5,45.0,27126.0,17.0,3.0,2,650.0,30.166666666666668,23.875,70.5,6.25,0.0,1008.33375,0.0,2013-09-02
Stn.XVI (Sta Rosa),9,2013,,,,,2.0,7.6,114.0,77778.0,17.0,3.0,2,650.0,30.166666666666668,23.875,70.5,6.25,0.0,1008.33375,0.0,2013-09-02
Stn XVII (Sanctuary),9,2013,,,,,1.0,9.2,97.0,159694.0,17.0,3.0,2,650.0,30.166666666666668,23.875,70.5,6.25,0.0,1008.33375,0.0,2013-09-02
Stn XVIII (Pagsanjan),9,2013,,,,,2.0,9.6,188.0,45049.0,17.0,3.0,2,650.0,30.166666666666668,23.875,70.5,6.25,0.0,1008.33375,0.0,2013-09-02
Stn. I (Central West Bay),10,2013,,,,,2.0,8.6,186.0,37646.0,13.0,2.0,1,665.24,27.0,25.52,92.0,9.72,0.0,1006.9272,0.0,2013-10-01
Stn II (East Bay),10,2013,,,,,1.0,8.2,185.0,65763.0,13.0,2.0,1,665.24,27.0,25.52,92.0,9.72,0.0,1006.9272,0.0,2013-10-01
Stn. IV (Central Bay),10,2013,,,,,2.0,7.0,268.0,17056.0,13.0,2.0,1,665.24,27.0,25.52,92.0,9.72,0.0,1006.9272,0.0,2013-10-01
Stn V (Northern West Bay),10,2013,,,,,4.0,6.2,492.0,98174.0,13.0,2.0,1,665.24,27.0,25.52,92.0,9.72,0.0,1006.9272,0.0,2013-10-01
Stn VIII (South Bay),10,2013,,,,,2.0,9.2,412.0,28053.0,13.0,2.0,1,665.24,27.0,25.52,92.0,9.72,0.0,1006.9272,0.0,2013-10-01
Stn XV (San Pedro),10,2013,,,,,3.0,8.6,77.0,16557.0,13.0,2.0,1,665.24,27.0,25.52,92.0,9.72,0.0,1006.9272,0.0,2013-10-01
Stn.XVI (Sta Rosa),10,2013,,,,,3.0,7.5,397.0,31325.0,13.0,2.0,1,665.24,27.0,25.52,92.0,9.72,0.0,1006.9272,0.0,2013-10-01
Stn XVII (Sanctuary),10,2013,,,,,2.0,8.6,59.0,43209.0,13.0,2.0,1,665.24,27.0,25.52,92.0,9.72,0.0,1006.9272,0.0,2013-10-01
Stn XVIII (Pagsanjan),10,2013,,,,,2.0,8.8,71.0,76126.0,13.0,2.0,1,665.24,27.0,25.52,92.0,9.72,0.0,1006.9272,0.0,2013-10-01
Stn. I (Central West Bay),11,2013,,,,,3.0,8.0,170.0,27324.0,13.0,2.0,4,656.88,27.48,25.52,89.32,5.88,0.0,1009.0004,0.0,2013-11-04
Stn II (East Bay),11,2013,,,,,2.0,8.0,126.0,34133.0,13.0,2.0,4,656.88,27.48,25.52,89.32,5.88,0.0,1009.0004,0.0,2013-11-04
Stn. IV (Central Bay),11,2013,,,,,3.0,7.7,158.0,975862.0,13.0,2.0,4,656.88,27.48,25.52,89.32,5.88,0.0,1009.0004,0.0,2013-11-04
Stn V (Northern West Bay),11,2013,,,,,3.0,8.0,259.0,10851.0,13.0,2.0,4,656.88,27.48,25.52,89.32,5.88,0.0,1009.0004,0.0,2013-11-04
Stn VIII (South Bay),11,2013,,,,,2.0,8.0,492.0,39168.0,13.0,2.0,4,656.88,27.48,25.52,89.32,5.88,0.0,1009.0004,0.0,2013-11-04
Stn XV (San Pedro),11,2013,,,,,4.0,7.0,159.0,36118.0,13.0,2.0,4,656.88,27.48,25.52,89.32,5.88,0.0,1009.0004,0.0,2013-11-04
Stn.XVI (Sta Rosa),11,2013,,,,,2.0,8.0,854.0,86204.0,13.0,2.0,4,656.88,27.48,25.52,89.32,5.88,0.0,1009.0004,0.0,2013-11-04
Stn XVII (Sanctuary),11,2013,,,,,2.0,8.0,66.0,40082.0,13.0,2.0,4,656.88,27.48,25.52,89.32,5.88,0.0,1009.0004,0.0,2013-11-04
Stn XVIII (Pagsanjan),11,2013,,,,,2.0,8.0,83.0,46425.0,13.0,2.0,4,656.88,27.48,25.52,89.32,5.88,0.0,1009.0004,0.0,2013-11-04
Stn. I (Central West Bay),12,2013,,,,,3.0,7.4,256.0,11880.0,18.0,2.0,2,650.0,26.625,24.20833333333333,87.5,5.083333333333333,0.0,1009.20125,0.0,2013-12-02
Stn II (East Bay),12,2013,,,,,2.0,8.8,126.0,37826.0,18.0,2.0,2,650.0,26.625,24.20833333333333,87.5,5.083333333333333,0.0,1009.20125,0.0,2013-12-02
Stn. IV (Central Bay),12,2013,,,,,3.0,7.0,203.0,13893.0,18.0,2.0,2,650.0,26.625,24.20833333333333,87.5,5.083333333333333,0.0,1009.20125,0.0,2013-12-02
Stn V (Northern West Bay),12,2013,,,,,4.0,8.0,294.0,6434.0,18.0,2.0,2,650.0,26.625,24.20833333333333,87.5,5.083333333333333,0.0,1009.20125,0.0,2013-12-02
Stn VIII (South Bay),12,2013,,,,,2.0,8.2,926.0,64933.0,18.0,2.0,2,650.0,26.625,24.20833333333333,87.5,5.083333333333333,0.0,1009.20125,0.0,2013-12-02
Stn XV (San Pedro),12,2013,,,,,4.0,8.0,412.0,19389.0,18.0,2.0,2,650.0,26.625,24.20833333333333,87.5,5.083333333333333,0.0,1009.20125,0.0,2013-12-02
Stn.XVI (Sta Rosa),12,2013,,,,,4.0,8.5,554.0,31266.0,18.0,2.0,2,650.0,26.625,24.20833333333333,87.5,5.083333333333333,0.0,1009.20125,0.0,2013-12-02
Stn XVII (Sanctuary),12,2013,,,,,2.0,7.8,59.0,43853.0,18.0,2.0,2,650.0,26.625,24.20833333333333,87.5,5.083333333333333,0.0,1009.20125,0.0,2013-12-02
Stn XVIII (Pagsanjan),12,2013,,,,,2.0,8.2,73.0,43290.0,18.0,2.0,2,650.0,26.625,24.20833333333333,87.5,5.083333333333333,0.0,1009.20125,0.0,2013-12-02
Stn. I (Central West Bay),1,2014,,,,,2.0,7.8,222.0,8223.0,6.0,1.0,6,650.0,26.75,21.625,74.0,12.25,0.0,1010.0333333333334,0.0,2014-01-06
Stn II (East Bay),1,2014,,,,,3.0,7.8,197.0,38128.0,6.0,1.0,6,650.0,26.75,21.625,74.0,12.25,0.0,1010.0333333333334,0.0,2014-01-06
Stn. IV (Central Bay),1,2014,,,,,2.0,7.3,57.0,3312.0,6.0,1.0,6,650.0,26.75,21.625,74.0,12.25,0.0,1010.0333333333334,0.0,2014-01-06
Stn V (Northern West Bay),1,2014,,,,,2.0,7.4,168.0,21456.0,6.0,1.0,6,650.0,26.75,21.625,74.0,12.25,0.0,1010.0333333333334,0.0,2014-01-06
Stn VIII (South Bay),1,2014,,,,,2.0,7.8,488.0,27900.0,6.0,1.0,6,650.0,26.75,21.625,74.0,12.25,0.0,1010.0333333333334,0.0,2014-01-06
Stn XV (San Pedro),1,2014,,,,,3.0,6.6,314.0,16328.0,6.0,1.0,6,650.0,26.75,21.625,74.0,12.25,0.0,1010.0333333333334,0.0,2014-01-06
Stn.XVI (Sta Rosa),1,2014,,,,,2.0,7.8,383.0,25975.0,6.0,1.0,6,650.0,26.75,21.625,74.0,12.25,0.0,1010.0333333333334,0.0,2014-01-06
Stn XVII (Sanctuary),1,2014,,,,,2.0,7.5,39.0,24167.0,6.0,1.0,6,650.0,26.75,21.625,74.0,12.25,0.0,1010.0333333333334,0.0,2014-01-06
Stn XVIII (Pagsanjan),1,2014,,,,,2.0,7.9,64.0,21932.0,6.0,1.0,6,650.0,26.75,21.625,74.0,12.25,0.0,1010.0333333333334,0.0,2014-01-06
Stn. I (Central West Bay),2,2014,,,,,1.0,9.7,188.0,26849.0,13.0,1.0,3,650.0,25.33333333333333,22.0,78.58333333333333,9.0,0.0,1007.04,0.0,2014-02-03
Stn II (East Bay),2,2014,,,,,3.0,9.8,246.0,31955.0,13.0,1.0,3,650.0,25.33333333333333,22.0,78.58333333333333,9.0,0.0,1007.04,0.0,2014-02-03
Stn. IV (Central Bay),2,2014,,,,,2.0,8.4,80.0,12544.0,13.0,1.0,3,650.0,25.33333333333333,22.0,78.58333333333333,9.0,0.0,1007.04,0.0,2014-02-03
Stn V (Northern West Bay),2,2014,,,,,2.0,10.1,140.0,17034.0,13.0,1.0,3,650.0,25.33333333333333,22.0,78.58333333333333,9.0,0.0,1007.04,0.0,2014-02-03
Stn VIII (South Bay),2,2014,,,,,3.0,10.3,464.0,28256.0,13.0,1.0,3,650.0,25.33333333333333,22.0,78.58333333333333,9.0,0.0,1007.04,0.0,2014-02-03
Stn XV (San Pedro),2,2014,,,,,2.0,10.7,263.0,24382.0,13.0,1.0,3,650.0,25.33333333333333,22.0,78.58333333333333,9.0,0.0,1007.04,0.0,2014-02-03
Stn.XVI (Sta Rosa),2,2014,,,,,3.0,9.6,108.0,56189.0,13.0,1.0,3,650.0,25.33333333333333,22.0,78.58333333333333,9.0,0.0,1007.04,0.0,2014-02-03
Stn XVII (Sanctuary),2,2014,,,,,3.0,9.6,35.0,50129.0,13.0,1.0,3,650.0,25.33333333333333,22.0,78.58333333333333,9.0,0.0,1007.04,0.0,2014-02-03
Stn XVIII (Pagsanjan),2,2014,,,,,2.0,9.6,33.0,15281.0,13.0,1.0,3,650.0,25.33333333333333,22.0,78.58333333333333,9.0,0.0,1007.04,0.0,2014-02-03
Stn. I (Central West Bay),3,2014,,,,,2.0,7.9,183.0,3016.0,17.0,1.0,3,650.0,27.666666666666668,20.625,66.95833333333333,9.791666666666666,0.0,1010.4083333333334,0.0,2014-03-03
Stn II (East Bay),3,2014,,,,,2.0,8.9,185.0,9878.0,17.0,1.0,3,650.0,27.666666666666668,20.625,66.95833333333333,9.791666666666666,0.0,1010.4083333333334,0.0,2014-03-03
Stn. IV (Central Bay),3,2014,,,,,2.0,8.5,82.0,5613.0,17.0,1.0,3,650.0,27.666666666666668,20.625,66.95833333333333,9.791666666666666,0.0,1010.4083333333334,0.0,2014-03-03
Stn V (Northern West Bay),3,2014,,,,,4.0,8.0,140.0,4744.0,17.0,1.0,3,650.0,27.666666666666668,20.625,66.95833333333333,9.791666666666666,0.0,1010.4083333333334,0.0,2014-03-03
Stn VIII (South Bay),3,2014,,,,,3.0,8.5,383.0,5105.0,17.0,1.0,3,650.0,27.666666666666668,20.625,66.95833333333333,9.791666666666666,0.0,1010.4083333333334,0.0,2014-03-03
Stn XV (San Pedro),3,2014,,,,,3.0,8.7,263.0,3663.0,17.0,1.0,3,650.0,27.666666666666668,20.625,66.95833333333333,9.791666666666666,0.0,1010.4083333333334,0.0,2014-03-03
Stn.XVI (Sta Rosa),3,2014,,,,,2.0,8.9,246.0,4283.0,17.0,1.0,3,650.0,27.666666666666668,20.625,66.95833333333333,9.791666666666666,0.0,1010.4083333333334,0.0,2014-03-03
Stn XVII (Sanctuary),3,2014,,,,,2.0,8.4,76.0,4181.0,17.0,1.0,3,650.0,27.666666666666668,20.625,66.95833333333333,9.791666666666666,0.0,1010.4083333333334,0.0,2014-03-03
Stn XVIII (Pagsanjan),3,2014,,,,,2.0,8.5,35.0,22730.0,17.0,1.0,3,650.0,27.666666666666668,20.625,66.95833333333333,9.791666666666666,0.0,1010.4083333333334,0.0,2014-03-03
Stn. I (Central West Bay),4,2014,,,,,2.0,7.7,337.0,1895.0,6.0,1.0,1,650.0,29.45833333333333,22.0,65.20833333333333,10.958333333333334,0.0,1007.4254166666666,0.0,2014-04-01
